accommodates,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
3,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0
4,1.0,1.0,2.0,$120.00,$65.00,$140.00,3,20,3
2,1.0,1.0,2.0,$290.00,,,1,1125,1
3,1.0,1.0,1.0,$145.00,$20.00,$250.00,1,31,5
4,1.0,1.0,1.0,$210.00,$50.00,$200.00,1,90,87
1,1.0,1.0,1.0,$90.00,,,1,1125,2
2,1.0,1.0,1.0,$99.00,$15.00,,1,1125,2
4,1.0,1.0,1.0,$399.00,$30.00,$100.00,1,1125,16
2,1.0,1.0,1.0,$239.00,,,4,730,0
2,1.0,1.0,1.0,$150.00,,,1,1125,4
1,1.0,1.0,1.0,$199.00,$71.00,,7,1125,1
2,1.0,1.0,1.0,$135.00,$40.00,$300.00,5,20,27
4,1.0,1.0,1.0,$295.00,,,1,1125,20
5,2.0,2.0,3.0,$429.00,$100.00,,3,1125,0
8,4.0,2.5,4.0,$400.00,$150.00,$500.00,3,1125,26
6,2.0,2.0,3.0,$295.00,$100.00,,1,1125,43
4,1.0,1.5,2.0,$179.00,$60.00,$200.00,2,730,163
4,2.0,2.0,2.0,$309.00,,,4,365,23
3,1.0,2.0,2.0,$90.00,$50.00,,6,22,0
2,1.0,1.0,1.0,$43.00,,,1,1125,10
1,1.0,1.0,1.0,$120.00,,,2,3,0
4,2.0,1.0,2.0,$269.00,,$200.00,2,1125,5
2,0.0,1.0,1.0,$150.00,$40.00,,2,365,73
2,1.0,1.0,1.0,$269.00,$150.00,,3,365,3
4,1.0,1.0,1.0,$185.00,,,3,90,8
2,1.0,1.0,1.0,$120.00,$100.00,"$1,000.00",7,365,1
8,2.0,2.0,3.0,$220.00,$100.00,$200.00,1,1125,0
3,1.0,1.0,2.0,$99.00,,"$1,000.00",3,1125,4
2,1.0,1.0,1.0,$99.00,$25.00,,1,1125,0
4,1.0,1.0,2.0,$250.00,$150.00,,1,1125,6
2,1.0,1.0,1.0,$249.00,$150.00,,3,365,4
3,1.0,1.0,2.0,$259.00,$100.00,,3,1125,2
5,2.0,2.0,2.0,$300.00,$100.00,,1,1125,2
3,1.0,1.0,1.0,$289.00,,,5,730,1
2,0.0,1.0,1.0,$200.00,,$500.00,1,1125,15
2,1.0,1.0,1.0,$249.00,,,3,365,0
1,1.0,1.0,1.0,$81.00,$35.00,$173.00,1,1125,1
2,1.0,1.0,1.0,$200.00,,,2,1125,0
8,2.0,1.0,4.0,$194.00,$89.00,,1,1125,8
2,1.0,1.0,1.0,$89.00,,,3,1125,3
2,1.0,1.0,1.0,$159.00,$80.00,$400.00,4,1125,18
2,0.0,1.0,1.0,$85.00,,,3,6,1
4,1.0,1.0,1.0,$100.00,$40.00,$200.00,1,1125,18
2,1.0,1.0,1.0,$189.00,$100.00,$500.00,3,30,0
3,1.0,2.0,1.0,$150.00,,,1,2000,1
5,2.0,1.0,3.0,$175.00,$55.00,$175.00,2,1125,2
2,1.0,1.0,1.0,$120.00,,$150.00,4,1125,1
3,1.0,1.0,1.0,$155.00,$50.00,$150.00,2,1125,1
5,2.0,2.0,2.0,$629.00,$100.00,,3,1125,0
5,2.0,2.0,3.0,$311.00,$100.00,,3,1125,3
3,1.0,1.0,1.0,$571.00,$100.00,,3,1125,0
6,2.0,2.0,2.0,$339.00,$95.00,,3,730,47
4,1.0,1.0,2.0,$210.00,$50.00,,1,60,28
4,2.0,2.0,2.0,$299.00,,,4,365,2
2,1.0,1.0,1.0,$170.00,,$200.00,1,10,18
1,1.0,1.0,1.0,$135.00,$75.00,$100.00,1,1125,0
4,2.0,1.0,2.0,$245.00,$100.00,$200.00,1,1125,3
3,1.0,1.0,1.0,$249.00,$150.00,,3,730,1
2,1.0,1.0,1.0,$99.00,$10.00,$100.00,1,30,5
4,0.0,1.0,1.0,$149.00,$75.00,"$1,000.00",3,31,0
1,1.0,1.0,1.0,$99.00,,,3,1125,8
6,2.0,2.0,2.0,$295.00,$100.00,$200.00,1,1125,50
6,2.0,2.0,2.0,$400.00,,$500.00,1,1125,0
1,1.0,1.0,1.0,$65.00,,,1,1125,0
1,1.0,1.0,1.0,$99.00,$45.00,$200.00,4,365,54
8,2.0,1.0,4.0,$179.00,$40.00,$100.00,1,1125,35
4,1.0,1.0,1.0,$150.00,$40.00,,1,1125,53
4,1.0,1.0,1.0,$140.00,$20.00,,2,1125,4
3,1.0,1.0,1.0,$179.00,$50.00,,2,1125,1
2,1.0,1.0,2.0,$135.00,$75.00,$150.00,2,90,4
3,1.0,1.0,2.0,$250.00,$60.00,,4,7,0
2,1.0,1.5,1.0,$95.00,,,1,28,44
6,2.0,1.0,2.0,$170.00,$75.00,$500.00,2,1125,2
5,2.0,2.0,2.0,$299.00,,,4,365,5
2,1.0,1.0,1.0,$150.00,$300.00,$500.00,7,14,1
4,1.0,1.5,1.0,$250.00,$65.00,$250.00,1,1125,12
2,0.0,1.0,1.0,$105.00,,$150.00,1,1125,11
3,1.0,1.0,1.0,$120.00,,,1,1125,3
3,1.0,1.0,1.0,$399.00,$100.00,,3,1125,0
5,2.0,2.0,2.0,$629.00,$100.00,,3,1125,0
3,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0
2,1.0,1.0,1.0,$70.00,,,1,1125,9
2,0.0,1.0,1.0,$110.00,$35.00,$150.00,2,14,6
3,1.0,1.0,2.0,$259.00,$100.00,,3,1125,4
2,1.0,1.5,1.0,$99.00,$20.00,,3,1125,12
8,3.0,1.5,3.0,$289.00,$99.00,$250.00,1,1125,14
4,1.0,1.0,2.0,$124.00,$100.00,$95.00,4,1125,3
2,1.0,1.0,1.0,$259.00,,,4,730,1
2,0.0,1.0,1.0,$80.00,$50.00,,1,1125,0
2,0.0,1.0,1.0,$96.00,,,3,1125,12
4,2.0,1.0,2.0,$189.00,$65.00,$200.00,2,365,47
3,1.0,1.0,1.0,$289.00,,,4,1125,0
3,1.0,1.0,1.0,$299.00,,,4,365,0
6,2.0,1.0,2.0,$170.00,$75.00,$500.00,2,1125,9
2,1.0,1.0,1.0,$130.00,$5.00,,2,1125,0
4,1.0,1.0,1.0,$149.00,,,4,1125,2
3,1.0,1.0,2.0,$259.00,$100.00,,3,1125,0
6,2.0,2.0,3.0,$349.00,,$300.00,2,1125,19
2,1.0,1.0,1.0,$78.00,$25.00,,1,1125,8
2,0.0,1.0,1.0,$125.00,$10.00,,1,1125,1
2,1.0,1.0,1.0,$95.00,$40.00,$100.00,1,1125,7
2,0.0,1.0,1.0,$130.00,$60.00,,2,180,19
2,1.0,1.0,1.0,$72.00,$5.00,,2,1125,22
4,1.0,1.0,2.0,$175.00,$65.00,$250.00,14,365,3
3,1.0,1.0,2.0,$246.00,$100.00,,3,1125,1
3,0.0,1.0,1.0,$140.00,,,1,1125,8
2,0.0,1.0,2.0,$65.00,$30.00,,1,1125,2
2,0.0,1.0,1.0,$125.00,,$200.00,2,1125,42
4,1.0,1.0,1.0,$85.00,$17.00,$225.00,1,1125,2
3,1.0,1.0,1.0,$309.00,,,3,730,3
3,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0
4,0.0,1.0,2.0,$150.00,$50.00,"$2,500.00",2,1125,1
4,2.0,,2.0,$279.00,,,4,1125,5
4,1.0,1.0,2.0,$154.00,,,2,365,35
4,1.0,1.0,2.0,$165.00,,,2,1125,17
3,1.0,1.0,2.0,$149.00,$45.00,$100.00,3,93,25
2,0.0,1.0,1.0,$104.00,,,1,1125,2
1,1.0,1.0,1.0,$125.00,,,2,5,5
3,1.0,1.0,2.0,$259.00,$100.00,,3,1125,0
3,1.0,1.0,1.0,$155.00,$49.00,$100.00,1,1125,0
2,1.0,1.0,1.0,$259.00,$100.00,,4,730,2
3,1.0,1.0,1.0,$189.00,,$150.00,6,30,30
4,1.0,1.0,1.0,$110.00,,,1,1125,12
1,1.0,1.0,1.0,$58.00,$15.00,,1,1125,14
2,1.0,1.0,1.0,$68.00,$38.00,,4,365,7
4,2.0,2.0,2.0,$309.00,,,4,365,5
2,1.0,1.5,1.0,$160.00,$120.00,$600.00,5,1000,1
2,1.0,1.0,2.0,$80.00,,$300.00,1,1125,0
3,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0
4,1.0,1.0,1.0,$103.00,$50.00,,1,1125,0
5,2.0,2.0,2.0,$629.00,$100.00,,3,1125,0
5,2.0,2.0,3.0,$324.00,$100.00,,3,1125,5
2,0.0,1.0,1.0,$90.00,,,7,1125,2
4,2.0,2.0,2.0,$329.00,$150.00,,3,365,8
4,2.0,2.0,2.0,$299.00,$150.00,,3,1125,3
5,2.0,2.0,2.0,$349.00,$150.00,,4,365,10
3,0.0,1.0,1.0,$95.00,,,1,1125,0
3,1.0,1.0,1.0,$189.00,,$150.00,6,30,22
5,2.0,2.0,3.0,$324.00,$100.00,,3,1125,2
4,0.0,1.0,1.0,$100.00,$50.00,$500.00,4,180,1
4,2.0,2.0,2.0,$299.00,$200.00,,3,1125,2
